Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2 (.086)-56,Unnamed: 0,8551-02-15,Unnamed: 1,8557-02-15,8553-02,8559-02,8560-02,8561-02,30,,,
0,4 (.112)-40,8551-04,8551-04-15,8557-04,8557-04-15,8553-04,8559-04,8560-04,8561,30,,,
1,5 (.125)-40,8551-05,nan,8557-05,nan,8553-05,8559-05,8560-05,8561,30,,,
2,6 (.138)-32,8551-06,8551-06-15,8557-06,8557-06-15,8553-06,8559-06,8560-06,8561,30,,,
3,8 (.164)-32,8551-2,8551-2-15,8557-2,8557-2-15,8553-2,8559-2,8560-2,8561,30,,,
4,10 (.190)-24,8551-3,8551-3-15,8557-3,8557-3-15,8553-3,8559-3,8560-3,8561,30,,,
5,1/4 (.2500)-20,8551-4,8551-4-15,8557-4,8557-4-15,8553-4,8559-4,8560-4,8561,30,,,
6,5/16 (.3125)-18,8251-5,8251-5-15,8257-5,8257-5-15,8253-5,8259-5-10,8259-5-15,nan,30,,,
7,3/8 (.3750)-16,8251-6,nan,8257-6,nan,8253-6,8259-6-10,8259-6-15,NONE,30,,,
8,7/16 (.4375)-14,8251-7,nan,8257-7,nan,8253-7,8259-7-10,8259-7-15,REQ’D,30,,,
9,1/2(.5000)-13,8251-8,nan,8257-8,nan,8253-8,8259-8-10,8259-8-15,nan,30,,,
,6 (.138)-40,8552-06,Unnamed: 0,8558-06,Unnamed: 1,8554-06,8559-06,8560-06,8561,30,,,
0,10 (.190)-32,8552-3,8552-3-15,8558-3,8558-3-15,8554-3,8559-3,8560-3,8561,30,,,
1,1/4 (.2500)-28,8552-4,8552-4-15,8558-4,8558-4-15,8554-4,8559-4,8560-4,8561,30,,,
2,5/16 (.3125)-24,8252-5,8252-5-15,8258-5,8258-5-15,8254-5,8259-5-10,8259-5-15,nan,30,,,
3,3/8 (.3750)-24,8252-6,nan,8258-6,nan,8254-6,8259-6-10,8259-6-15,NONE,30,,,
4,7/16 (.4375)-20,8252-7,nan,8258-7,nan,8254-7,8259-7-10,8259-7-15,REQ’D,30,,,
5,1/2 (.5000)-20,8252-8,nan,8258-8,nan,8254-8,8259-8-10,8259-8-15,nan,30,,,
,,,,,,,,,,,,,
,Unnamed: 0,FRONT END ASSEMBLY,PREWINDERS,Unnamed: 1,Unnamed: 2,SPACERS,Unnamed: 3,,,,,,
0,Nominal,P/N for P/N for,P/N for P/N for,nan,nan,nan,nan,,,,,,
1,Thread,Bulk Inserts  Strip Feed,Bulk Strip Feed,nan,nan,nan,nan,8776-2.2,8777-2.2,31,,,
2,Size,(2 dia. max.) Inserts,Inserts Inserts,MANDRELS,1 Dia.,1-1/2 Dia.,2 Dia.,8776-2.5,8777,31,,,
1,M3x0.5,8751-3,8751-3-15,8769-3,8769-3-15,8757-3,8775-3,8776-3,8777,31,,,
2,M3.5x0.6,8751-3.5,8751-3.5-15,8769-3.5,8769-3.5-15,8757-3.5,8775-3.5,8776-3.5,8777,31,,,
3,M4x0.7,8751-4,8751-4-15,8769-4,8769-4-15,8757-4,8775-4,8776-4,8777,31,,,
4,M5x0.8,8751-5,8751-5-15,8769-5,8769-5-15,8757-5,8775-5,8776-5,8777,31,,,
5,M6x1,8751-6,8751-6-15,8769-6,8769-6-15,8757-6,8775-6,8776-6,8777,31,,,
6,M7x1,8751-7,8751-7-15,8769-7,8769-7-15,8757-7,8777-7-10,8777-7-15,nan,31,,,
7,M8x1.25,8751-8,nan,8769-8,nan,8757-8,8777-8-10,8777-8-15,NONE,31,,,
8,M10x1.5,8751-10,nan,8769-10,nan,8757-10,8777-10-10,8777-10-15,REQ’D,31,,,
9,M12x1.75,8751-12,nan,8769-12,nan,8757-12,8777-12-10,8777-12-15,nan,31,,,
,Unnamed: 0,SIZE,A B,Unnamed: 1,A B.1,Unnamed: 2,C,D,E,F,G,H,31
0,INCH,METRIC,FOR BULK INSERTS,nan,FOR STRIP FEED INSERTS,nan,nan,nan,nan,nan,nan,nan,31
1,2,M2.2,nan,nan,5/16 7/16,nan,23/32,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
2,4,M2.5,1/4 9/16,nan,3/8 15/16,nan,23/32,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
3,5,M3,9/32 9/16,nan,3/8 15/16,nan,2332,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
4,6,M3.5,5/16 9/16,nan,1/2 15/16,nan,23/32,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
5,8,M4,11/32  9/16,nan,1/2 15/16,nan,23/32,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
6,10,M5,3/8 29/32,nan,1/2 15/16,nan,23/32,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
7,"1/4""",M6,27/64  29/32,nan,5/8 1-3/8,nan,23/32,1-1/8,1-3/8,3-3/16,1-1/4,4-7/16,31
8,"5/16""",M7 & M8,9/16 1-1/8,nan,11/16 1-1/8,nan,"1""",1-9/16,1-3/8,4-7/16,1-1/4,5-3/4,31
9,"3/8""",nan,11/16  1-11/32,nan,nan,nan,"1""",1-9/16,1-7/8,4-3/4,1-1/4,6-1/32,31
10,"7/16""",M10,3/4 1-17/32,nan,nan,nan,"1""",1-9/16,2-1/4,5-1/8,1-1/4,6-13/32,31
11,"1/2""",M12,13/161-25/32,nan,nan,nan,"1""",1-9/16,1-1/2,5-13/32,1-1/4,6-11/16,31
