,M8x1,5484-8,4984-8,5486-8,4986-8,4864-8,4764-8,5066-8,4666-8,Unnamed: 0
0,M10x1,5484-10,4984-10,5486-10,4986-10,4864-10,4764-10,5066-10,4666-10,nan
1,M10x1.25,5444-10,4944-10,5445-10,4945-10,4865-10,4765-10,5067-10,4667-10,nan
2,M12x1.25,5444-12,4944-12,5445-12,4945-12,4865-12,4765-12,5067-12,4667-12,3767-12
3,M12x1.5,5476-12,4976-12,5477-12,4977-12,4866-12,4766-12,5068-12,4668-12,3768-12
4,M14x1.5,5476-14,4976-14,5477-14,4977-14,nan,nan,nan,nan,3768-14
5,M16x1.5,5476-16,4976-16,5477-16,4977-16,nan,nan,nan,nan,3768-16
6,M18x1.5,5476-18,4976-18,5477-18,4977-18,nan,nan,nan,nan,3768-18
7,M20x1.5,5476-20,4976-20,5477-20,4977-20,nan,nan,nan,nan,3768-20
8,M22x1.5,5476-22,4976-22,5477-22,4977-22,nan,nan,nan,nan,3768-22
9,M18x2,5490-18,4990-18,5492-18,4992-18,nan,nan,nan,nan,3769-18
10,M20x2,5490-20,4990-20,5492-20,4992-20,nan,nan,nan,nan,3769-20
11,M22x2,5490-22,4990-22,5492-22,4992-22,nan,nan,nan,nan,3769-22
12,M24x2,5490-24,4990-24,5492-24,4992-24,nan,nan,nan,nan,3769-24
13,M27x2,5490-27,4990-27,5492-27,4992-27,nan,nan,nan,nan,nan
14,M30x2,5490-30,4990-30,5492-30,4992-30,nan,nan,nan,nan,nan
15,M33x2,5490-33,4990-33,5492-33,4992-33,nan,nan,nan,nan,nan
16,M36x2,5490-36,4990-36,5492-36,4992-36,nan,nan,nan,nan,nan
17,M39x2,5490-39,4990-39,5492-39,4992-39,nan,nan,nan,nan,nan
18,M36x3,5496-36,4996-36,5497-36,4997-36,nan,nan,nan,nan,nan
19,M39x3,5496-39,4996-39,5497-39,4997-39,nan,nan,nan,nan,nan
