,2 (.086)-56,Unnamed: 0,8551-02-15,Unnamed: 1,8557-02-15,8553-02,8559-02,8560-02,8561-02
0,4 (.112)-40,8551-04,8551-04-15,8557-04,8557-04-15,8553-04,8559-04,8560-04,8561
1,5 (.125)-40,8551-05,nan,8557-05,nan,8553-05,8559-05,8560-05,8561
2,6 (.138)-32,8551-06,8551-06-15,8557-06,8557-06-15,8553-06,8559-06,8560-06,8561
3,8 (.164)-32,8551-2,8551-2-15,8557-2,8557-2-15,8553-2,8559-2,8560-2,8561
4,10 (.190)-24,8551-3,8551-3-15,8557-3,8557-3-15,8553-3,8559-3,8560-3,8561
5,1/4 (.2500)-20,8551-4,8551-4-15,8557-4,8557-4-15,8553-4,8559-4,8560-4,8561
6,5/16 (.3125)-18,8251-5,8251-5-15,8257-5,8257-5-15,8253-5,8259-5-10,8259-5-15,nan
7,3/8 (.3750)-16,8251-6,nan,8257-6,nan,8253-6,8259-6-10,8259-6-15,NONE
8,7/16 (.4375)-14,8251-7,nan,8257-7,nan,8253-7,8259-7-10,8259-7-15,REQ’D
9,1/2(.5000)-13,8251-8,nan,8257-8,nan,8253-8,8259-8-10,8259-8-15,nan
